transaction_item_id,transaction_id,product_id,quantity,price
TI00000001,TXN0000001,PROD00153,3,121800.0
TI00000002,TXN0000001,PROD00102,4,171600.0
TI00000003,TXN0000001,PROD00084,4,1607800.0
TI00000004,TXN0000001,PROD00008,2,86100.0
TI00000005,TXN0000001,PROD00163,3,337100.0
TI00000006,TXN0000002,PROD00175,4,99600.0
TI00000007,TXN0000002,PROD00150,1,874600.0
TI00000008,TXN0000003,PROD00019,3,353800.0
TI00000009,TXN0000003,PROD00022,2,1337300.0
TI00000010,TXN0000004,PROD00028,3,497400.0
TI00000011,TXN0000004,PROD00024,4,595000.0
TI00000012,TXN0000004,PROD00002,3,1365600.0
TI00000013,TXN0000005,PROD00023,4,225100.0
TI00000014,TXN0000005,PROD00048,4,88700.0
TI00000015,TXN0000006,PROD00105,1,76100.0
TI00000016,TXN0000006,PROD00027,3,124600.0
TI00000017,TXN0000006,PROD00007,4,456400.0
TI00000018,TXN0000006,PROD00023,1,225100.0
TI00000019,TXN0000006,PROD00091,3,17600.0
TI00000020,TXN0000007,PROD00144,2,2659900.0
TI00000021,TXN0000008,PROD00176,2,168200.0
TI00000022,TXN0000008,PROD00098,2,66400.0
TI00000023,TXN0000009,PROD00043,4,223400.0
TI00000024,TXN0000010,PROD00124,3,11671600.0
TI00000025,TXN0000010,PROD00020,2,176500.0
TI00000026,TXN0000010,PROD00093,4,2689800.0
TI00000027,TXN0000011,PROD00035,3,3271400.0
TI00000028,TXN0000012,PROD00086,4,8987800.0
TI00000029,TXN0000012,PROD00159,3,3240200.0
TI00000030,TXN0000012,PROD00098,4,66400.0
TI00000031,TXN0000012,PROD00085,2,262600.0
TI00000032,TXN0000013,PROD00178,4,55100.0
TI00000033,TXN0000013,PROD00052,3,58000.0
TI00000034,TXN0000013,PROD00123,3,520300.0
TI00000035,TXN0000013,PROD00081,4,41700.0
TI00000036,TXN0000013,PROD00046,2,314500.0
TI00000037,TXN0000014,PROD00145,2,626300.0
TI00000038,TXN0000015,PROD00007,1,456400.0
TI00000039,TXN0000015,PROD00119,4,3450500.0
TI00000040,TXN0000015,PROD00054,4,1692000.0
TI00000041,TXN0000015,PROD00113,2,4916800.0
TI00000042,TXN0000015,PROD00075,3,382900.0
TI00000043,TXN0000016,PROD00019,4,353800.0
TI00000044,TXN0000016,PROD00115,4,1810600.0
TI00000045,TXN0000016,PROD00154,1,192800.0
TI00000046,TXN0000016,PROD00123,3,520300.0
TI00000047,TXN0000017,PROD00028,2,497400.0
TI00000048,TXN0000018,PROD00012,3,744700.0
TI00000049,TXN0000018,PROD00145,4,626300.0
TI00000050,TXN0000018,PROD00166,1,120600.0
TI00000051,TXN0000018,PROD00174,1,71600.0
TI00000052,TXN0000018,PROD00103,1,499800.0
TI00000053,TXN0000019,PROD00133,2,521500.0
TI00000054,TXN0000019,PROD00143,4,115300.0
TI00000055,TXN0000019,PROD00149,3,370000.0
TI00000056,TXN0000019,PROD00177,4,228400.0
TI00000057,TXN0000019,PROD00148,4,272900.0
TI00000058,TXN0000020,PROD00007,3,456400.0
TI00000059,TXN0000020,PROD00124,4,11671600.0
TI00000060,TXN0000020,PROD00027,1,124600.0
TI00000061,TXN0000021,PROD00117,4,188000.0
TI00000062,TXN0000021,PROD00053,3,197800.0
TI00000063,TXN0000021,PROD00134,4,1383900.0
TI00000064,TXN0000022,PROD00082,1,435600.0
TI00000065,TXN0000022,PROD00018,1,2056700.0
TI00000066,TXN0000022,PROD00077,3,37900.0
TI00000067,TXN0000022,PROD00012,1,744700.0
TI00000068,TXN0000023,PROD00045,4,75500.0
TI00000069,TXN0000023,PROD00142,4,324600.0
TI00000070,TXN0000023,PROD00041,2,792800.0
TI00000071,TXN0000023,PROD00085,4,262600.0
TI00000072,TXN0000023,PROD00144,2,2659900.0
TI00000073,TXN0000024,PROD00008,4,86100.0
TI00000074,TXN0000024,PROD00158,4,488300.0
TI00000075,TXN0000024,PROD00051,1,752100.0
TI00000076,TXN0000024,PROD00116,2,561100.0
TI00000077,TXN0000025,PROD00048,1,88700.0
TI00000078,TXN0000025,PROD00094,3,365200.0
TI00000079,TXN0000025,PROD00084,4,1607800.0
TI00000080,TXN0000025,PROD00051,3,752100.0
TI00000081,TXN0000025,PROD00118,4,97800.0
TI00000082,TXN0000026,PROD00091,2,17600.0
TI00000083,TXN0000026,PROD00118,3,97800.0
TI00000084,TXN0000026,PROD00159,1,3240200.0
TI00000085,TXN0000027,PROD00079,2,31800.0
TI00000086,TXN0000027,PROD00030,3,10909100.0
TI00000087,TXN0000028,PROD00108,4,570800.0
TI00000088,TXN0000028,PROD00153,4,121800.0
TI00000089,TXN0000028,PROD00036,2,11966500.0
TI00000090,TXN0000028,PROD00148,4,272900.0
TI00000091,TXN0000029,PROD00126,2,219500.0
TI00000092,TXN0000029,PROD00074,2,99400.0
TI00000093,TXN0000030,PROD00125,2,716900.0
TI00000094,TXN0000031,PROD00144,4,2659900.0
