transaction_id,customer_id,transaction_date,total_amount,campaign_id
TXN0000001,CUST000698,2025-06-23,8666500.0,
TXN0000002,CUST000769,2025-10-12,1273000.0,
TXN0000003,CUST000605,2025-11-07,3736000.0,CAMP0024
TXN0000004,CUST000798,2024-07-30,7969000.0,
TXN0000005,CUST000553,2024-10-15,1255200.0,
TXN0000006,CUST001141,2025-08-10,2553400.0,
TXN0000007,CUST000848,2025-01-22,5319800.0,
TXN0000008,CUST001172,2025-05-23,469200.0,CAMP0021
TXN0000009,CUST001010,2024-01-25,893600.0,
TXN0000010,CUST000566,2024-07-26,46127000.0,
TXN0000011,CUST000401,2025-04-09,9814200.0,
TXN0000012,CUST000014,2025-12-19,46462600.0,
TXN0000013,CUST000616,2024-11-29,2751100.0,CAMP0018
TXN0000014,CUST000805,2025-06-30,1252600.0,
TXN0000015,CUST001118,2023-10-19,32008700.0,CAMP0011
TXN0000016,CUST000867,2025-08-08,10411300.0,
TXN0000017,CUST001100,2025-05-11,994800.0,
TXN0000018,CUST000728,2023-07-29,5431300.0,
TXN0000019,CUST000530,2025-07-26,4619400.0,
TXN0000020,CUST001025,2024-06-23,48180200.0,CAMP0016
TXN0000021,CUST000714,2025-02-13,6881000.0,
TXN0000022,CUST000200,2024-09-14,3350700.0,
TXN0000023,CUST000337,2024-01-31,9556200.0,
TXN0000024,CUST000382,2025-01-06,4171900.0,CAMP0019
TXN0000025,CUST001183,2025-07-19,10263000.0,
TXN0000026,CUST000804,2023-05-13,3568800.0,
TXN0000027,CUST000642,2024-10-16,32790900.0,
TXN0000028,CUST000290,2024-11-23,27795000.0,
TXN0000029,CUST000355,2025-05-03,637800.0,CAMP0021
TXN0000030,CUST000110,2024-05-30,1433800.0,
TXN0000031,CUST000400,2025-11-16,12398800.0,
TXN0000032,CUST000170,2025-01-17,6304800.0,CAMP0019
TXN0000033,CUST001102,2025-01-31,1017500.0,
TXN0000034,CUST001173,2024-05-20,13205200.0,
TXN0000035,CUST000210,2024-03-20,1869600.0,
TXN0000036,CUST000241,2023-07-18,1263700.0,CAMP0010
TXN0000037,CUST000424,2025-07-29,2444700.0,
TXN0000038,CUST001104,2023-04-12,1422700.0,
TXN0000039,CUST000568,2025-09-12,3165200.0,
TXN0000040,CUST000660,2024-12-25,6753700.0,CAMP0019
TXN0000041,CUST000826,2025-05-07,1693900.0,
TXN0000042,CUST000191,2025-03-03,704000.0,
TXN0000043,CUST000662,2023-10-19,4416200.0,CAMP0011
TXN0000044,CUST000034,2023-11-28,5668800.0,
TXN0000045,CUST000415,2025-04-18,1579100.0,
TXN0000046,CUST000192,2025-08-10,39870400.0,
TXN0000047,CUST000626,2025-06-10,184900.0,
TXN0000048,CUST000003,2023-11-07,6282300.0,
TXN0000049,CUST000865,2023-03-19,5770100.0,
TXN0000050,CUST000281,2025-04-05,555600.0,
TXN0000051,CUST001087,2025-08-10,13631800.0,
TXN0000052,CUST000902,2024-11-14,8669600.0,
TXN0000053,CUST000178,2023-02-14,1788100.0,
TXN0000054,CUST000880,2025-08-07,2539600.0,
TXN0000055,CUST001134,2025-04-06,21823600.0,
TXN0000056,CUST000112,2023-09-21,2101900.0,CAMP0011
TXN0000057,CUST000749,2025-11-26,544200.0,
TXN0000058,CUST000029,2025-08-09,3745800.0,
TXN0000059,CUST001027,2024-07-05,3339700.0,CAMP0016
TXN0000060,CUST000319,2025-05-11,13443600.0,
TXN0000061,CUST000489,2023-11-13,12425500.0,
TXN0000062,CUST000113,2024-09-19,2397900.0,
TXN0000063,CUST000336,2025-09-16,7721300.0,
TXN0000064,CUST000551,2025-06-01,35951200.0,CAMP0021
TXN0000065,CUST000539,2025-07-12,10538900.0,
TXN0000066,CUST000323,2025-08-19,229500.0,
TXN0000067,CUST000468,2025-06-03,7480400.0,
TXN0000068,CUST001133,2025-12-12,25999200.0,
TXN0000069,CUST000245,2025-10-01,629000.0,
TXN0000070,CUST001057,2024-10-31,6880500.0,CAMP0018
TXN0000071,CUST001155,2024-10-26,9882500.0,CAMP0018
TXN0000072,CUST000020,2025-01-26,25434800.0,
TXN0000073,CUST000630,2024-10-05,35404400.0,
TXN0000074,CUST000123,2024-10-24,5488500.0,
TXN0000075,CUST000174,2025-04-23,426000.0,
TXN0000076,CUST000808,2024-03-12,19309700.0,
TXN0000077,CUST000669,2025-09-26,1013200.0,
TXN0000078,CUST000337,2025-03-27,2736100.0,
TXN0000079,CUST000246,2023-02-26,1114400.0,
TXN0000080,CUST000672,2025-07-21,4611600.0,
TXN0000081,CUST000812,2025-04-25,214800.0,CAMP0021
TXN0000082,CUST000064,2025-03-01,4121400.0,CAMP0020
TXN0000083,CUST000268,2024-02-29,1523600.0,
TXN0000084,CUST000133,2024-12-02,14333400.0,
TXN0000085,CUST001176,2024-07-30,1379400.0,
TXN0000086,CUST000384,2025-05-07,10163800.0,
TXN0000087,CUST001128,2025-06-17,675300.0,
TXN0000088,CUST000785,2024-10-05,8660100.0,
TXN0000089,CUST001116,2025-05-27,16252000.0,CAMP0021
TXN0000090,CUST000061,2025-11-26,2937700.0,
TXN0000091,CUST000206,2023-10-24,264200.0,
TXN0000092,CUST001180,2024-06-19,9233300.0,
TXN0000093,CUST000721,2025-02-18,5180700.0,
TXN0000094,CUST000116,2025-01-18,12636100.0,
TXN0000095,CUST000663,2024-11-04,6561400.0,
TXN0000096,CUST001078,2024-10-30,1464800.0,
TXN0000097,CUST000690,2024-01-22,21564200.0,
TXN0000098,CUST001151,2024-09-20,18881600.0,
TXN0000099,CUST000629,2023-11-15,1437800.0,CAMP0012
TXN0000100,CUST000453,2023-06-03,11360200.0,
TXN0000101,CUST000688,2024-11-20,379000.0,CAMP0018
TXN0000102,CUST000718,2023-11-22,179800.0,CAMP0012
TXN0000103,CUST000341,2024-06-21,37679000.0,CAMP0016
TXN0000104,CUST000604,2022-03-02,6747900.0,
TXN0000105,CUST000330,2025-04-15,527900.0,
TXN0000106,CUST000693,2025-03-21,53023300.0,CAMP0020
TXN0000107,CUST000839,2025-12-08,17496700.0,
TXN0000108,CUST000112,2024-05-26,130700.0,
TXN0000109,CUST000604,2025-10-06,3295900.0,
TXN0000110,CUST000632,2024-12-19,5438900.0,
TXN0000111,CUST000757,2025-05-19,17647000.0,CAMP0021
TXN0000112,CUST000176,2025-10-19,2319700.0,
TXN0000113,CUST001071,2025-01-24,25385800.0,
TXN0000114,CUST000920,2025-07-06,193300.0,
TXN0000115,CUST000892,2024-08-05,2059900.0,
TXN0000116,CUST000179,2025-07-23,13479000.0,
TXN0000117,CUST000307,2024-12-03,10952700.0,
TXN0000118,CUST000785,2025-09-27,9667300.0,
TXN0000119,CUST000679,2025-12-12,9752700.0,
TXN0000120,CUST000042,2025-07-15,1583900.0,
TXN0000121,CUST000616,2025-04-03,1406000.0,
TXN0000122,CUST000433,2024-11-04,29647700.0,CAMP0018
TXN0000123,CUST000356,2023-12-05,6475900.0,
TXN0000124,CUST000104,2024-09-12,3718800.0,
TXN0000125,CUST000254,2025-09-01,250800.0,
TXN0000126,CUST000914,2024-01-31,35720500.0,
TXN0000127,CUST000057,2025-10-26,220800.0,
TXN0000128,CUST000462,2024-12-25,27413200.0,
TXN0000129,CUST000355,2025-08-06,3919500.0,
TXN0000130,CUST000626,2025-05-27,20589000.0,
TXN0000131,CUST001067,2024-12-05,10889600.0,
TXN0000132,CUST000689,2024-09-17,5001000.0,
TXN0000133,CUST001060,2025-09-10,1886800.0,
TXN0000134,CUST000053,2025-04-28,5812400.0,
TXN0000135,CUST000456,2025-11-16,1399900.0,
TXN0000136,CUST000530,2025-12-02,19668600.0,
TXN0000137,CUST000679,2025-01-19,6762300.0,
TXN0000138,CUST001196,2023-07-24,3129000.0,
TXN0000139,CUST000309,2024-11-06,1034600.0,CAMP0018
TXN0000140,CUST000166,2025-10-24,1013500.0,
TXN0000141,CUST000561,2024-11-21,1884400.0,CAMP0018
TXN0000142,CUST000880,2025-08-30,5925500.0,
TXN0000143,CUST001088,2024-01-06,71600.0,
TXN0000144,CUST000510,2023-11-09,5523300.0,CAMP0012
TXN0000145,CUST000611,2024-03-20,7609300.0,CAMP0014
TXN0000146,CUST000338,2025-07-23,6498800.0,
TXN0000147,CUST000269,2025-01-01,233400.0,CAMP0019
TXN0000148,CUST000769,2025-07-13,6678600.0,
TXN0000149,CUST000779,2025-06-06,12130300.0,
TXN0000150,CUST000281,2025-06-18,2828000.0,CAMP0022
TXN0000151,CUST001020,2024-01-04,2884700.0,
TXN0000152,CUST000985,2025-06-29,1434100.0,
TXN0000153,CUST001012,2024-10-21,2828000.0,
TXN0000154,CUST000208,2023-08-21,3001200.0,
TXN0000155,CUST000103,2025-01-15,3581400.0,
TXN0000156,CUST000238,2022-09-08,1246600.0,
TXN0000157,CUST000350,2024-04-20,6244600.0,
TXN0000158,CUST000375,2025-05-02,3632000.0,CAMP0021
TXN0000159,CUST000327,2023-12-19,26831600.0,
TXN0000160,CUST000060,2023-07-05,18047300.0,CAMP0010
TXN0000161,CUST000693,2025-01-03,21676400.0,
TXN0000162,CUST001144,2023-05-25,484000.0,
TXN0000163,CUST000962,2025-09-26,8406500.0,
TXN0000164,CUST001039,2025-06-18,20649700.0,
TXN0000165,CUST000244,2025-02-25,498400.0,
TXN0000166,CUST001142,2025-10-14,1785000.0,
TXN0000167,CUST001042,2025-10-28,704600.0,CAMP0024
TXN0000168,CUST000457,2025-12-28,22183700.0,
TXN0000169,CUST000200,2025-12-10,1201200.0,
TXN0000170,CUST001122,2025-10-28,3672400.0,
TXN0000171,CUST000839,2025-04-23,10313500.0,
TXN0000172,CUST000937,2025-12-23,842200.0,
TXN0000173,CUST000253,2025-02-11,38850100.0,
TXN0000174,CUST001199,2025-06-19,45834100.0,
TXN0000175,CUST000509,2024-07-26,14375900.0,
TXN0000176,CUST001134,2025-05-08,5250000.0,
TXN0000177,CUST000272,2024-12-22,66447700.0,
TXN0000178,CUST000027,2025-02-09,1825600.0,
TXN0000179,CUST000298,2025-01-19,174000.0,
TXN0000180,CUST000330,2025-12-29,9200500.0,
TXN0000181,CUST001109,2023-11-05,2597200.0,
